"vessel","trip","haul","sampledby","length","count"
"KW172","DD0717",6,"WMR",25,28
"KW172","DD0717",6,"WMR",25.5,13
"KW172","DD0717",6,"WMR",26,32
"KW172","DD0717",6,"WMR",26.5,16
"KW172","DD0717",6,"WMR",27,44
"KW172","DD0717",6,"WMR",27.5,3
"KW172","DD0717",6,"WMR",28,6
"KW172","DD0717",6,"WMR",28.5,19
"KW172","DD0717",7,"WMR",22,5
"KW172","DD0717",7,"WMR",22.5,7
"KW172","DD0717",7,"WMR",23.5,1
"KW172","DD0717",7,"WMR",24,5
"KW172","DD0717",7,"WMR",24.5,6
"KW172","DD0717",7,"WMR",25,6
"KW172","DD0717",7,"WMR",25.5,7
"KW172","DD0717",7,"WMR",26,17
"KW172","DD0717",7,"WMR",26.5,25
"KW172","DD0717",7,"WMR",27,28
"KW172","DD0717",7,"WMR",27.5,18
"KW172","DD0717",7,"WMR",28,3
"KW172","DD0717",7,"WMR",28.5,4
"KW172","DD0717",7,"WMR",29,12
"KW172","DD0717",7,"WMR",29.5,6
"KW172","DD0717",7,"WMR",30,7
"KW172","DD0717",8,"WMR",25,17
"KW172","DD0717",8,"WMR",25.5,13
"KW172","DD0717",8,"WMR",26,31
"KW172","DD0717",8,"WMR",26.5,25
"KW172","DD0717",8,"WMR",27,12
"KW172","DD0717",8,"WMR",27.5,28
"KW172","DD0717",8,"WMR",28,13
"KW172","DD0717",8,"WMR",28.5,1
"KW172","DD0717",8,"WMR",29,5
"KW172","DD0717",8,"WMR",29.5,6
"KW172","DD0717",9,"WMR",25.5,7
"KW172","DD0717",9,"WMR",26,17
"KW172","DD0717",9,"WMR",26.5,61
"KW172","DD0717",9,"WMR",27,30
"KW172","DD0717",9,"WMR",27.5,24
"KW172","DD0717",9,"WMR",28,22
"KW172","DD0817",2,"MSS",24.5,2
"KW172","DD0817",2,"MSS",25,3
"KW172","DD0817",2,"MSS",25.5,3
"KW172","DD0817",2,"MSS",26,4
"KW172","DD0817",2,"MSS",26.5,9
"KW172","DD0817",2,"MSS",27,14
"KW172","DD0817",2,"MSS",27.5,13
"KW172","DD0817",2,"MSS",28,11
"KW172","DD0817",2,"MSS",28.5,7
"KW172","DD0817",2,"MSS",29,11
"KW172","DD0817",2,"MSS",29.5,7
"KW172","DD0817",2,"MSS",30,2
"KW172","DD0817",2,"MSS",30.5,4
"KW172","DD0817",2,"MSS",31,2
"KW172","DD0817",2,"MSS",31.5,1
"KW172","DD0817",3,"MSS",23.5,3
"KW172","DD0817",3,"MSS",24,3
"KW172","DD0817",3,"MSS",24.5,9
"KW172","DD0817",3,"MSS",25,5
"KW172","DD0817",3,"MSS",25.5,12
"KW172","DD0817",3,"MSS",26,8
"KW172","DD0817",3,"MSS",26.5,14
"KW172","DD0817",3,"MSS",27,10
"KW172","DD0817",3,"MSS",27.5,21
"KW172","DD0817",3,"MSS",28,16
"KW172","DD0817",3,"MSS",28.5,11
"KW172","DD0817",3,"MSS",29,13
"KW172","DD0817",3,"MSS",29.5,3
"KW172","DD0817",3,"MSS",30,7
"KW172","DD0817",3,"MSS",31,1
"KW172","DD0817",3,"MSS",31.5,1
"KW172","DD0817",15,NA,25,3
"KW172","DD0817",15,NA,25.5,2
"KW172","DD0817",15,NA,26,8
"KW172","DD0817",15,NA,26.5,10
"KW172","DD0817",15,NA,27,31
"KW172","DD0817",15,NA,27.5,28
"KW172","DD0817",15,NA,28,30
"KW172","DD0817",15,NA,28.5,15
"KW172","DD0817",15,NA,29,12
"KW172","DD0817",15,NA,29.5,3
"KW172","DD0817",15,NA,30,14
"KW172","DD0817",15,NA,30.5,2
"KW172","DD0817",15,NA,31,5
"KW172","DD0817",15,NA,31.5,2
"KW172","DD0817",15,NA,32,2
"KW172","DD0817",15,NA,32.5,1
"KW172","DD0817",16,"WMR",24,4
"KW172","DD0817",16,"WMR",24.5,4
"KW172","DD0817",16,"WMR",25,7
"KW172","DD0817",16,"WMR",25.5,14
"KW172","DD0817",16,"WMR",26,21
"KW172","DD0817",16,"WMR",26.5,25
"KW172","DD0817",16,"WMR",27,18
"KW172","DD0817",16,"WMR",27.5,18
"KW172","DD0817",16,"WMR",28,11
"KW172","DD0817",16,"WMR",28.5,14
"KW172","DD0817",16,"WMR",29,11
"KW172","DD0817",16,"WMR",30,7
"KW172","DD0817",16,NA,24.5,1
"KW172","DD0817",16,NA,25,1
"KW172","DD0817",16,NA,25.5,2
"KW172","DD0817",16,NA,26,9
"KW172","DD0817",16,NA,26.5,7
"KW172","DD0817",16,NA,27,31
"KW172","DD0817",16,NA,27.5,18
"KW172","DD0817",16,NA,28,23
"KW172","DD0817",16,NA,28.5,15
"KW172","DD0817",16,NA,29,26
"KW172","DD0817",16,NA,29.5,11
"KW172","DD0817",16,NA,30,13
"KW172","DD0817",16,NA,30.5,5
"KW172","DD0817",16,NA,31,5
"KW172","DD0817",16,NA,31.5,2
"KW172","DD0817",16,NA,32,2
